property_type,n_test_predictions,test_r2,test_rmse,test_mae,model,feature_case,split_mode,target,run_name,run_dir
Mobile/park home,731,0.675425999119764,31013.114520669165,18985.709898462417,Random Forest,Full,stratified,price_sold,pooled_random_forest_cross_validation_full_features_stratified_price_sold,outputs/Final Results/Random forest/pooled_random_forest_cross_validation_full_features_stratified_price_sold
Terraced bungalow,270,0.739678728370383,27696.841376337008,14138.116871925737,Random Forest,Full,stratified,price_sold,pooled_random_forest_cross_validation_full_features_stratified_price_sold,outputs/Final Results/Random forest/pooled_random_forest_cross_validation_full_features_stratified_price_sold
Semi-detached bungalow,647,0.7851258021583274,34206.92811869749,19681.523640847223,Random Forest,Full,stratified,price_sold,pooled_random_forest_cross_validation_full_features_stratified_price_sold,outputs/Final Results/Random forest/pooled_random_forest_cross_validation_full_features_stratified_price_sold
Maisonette,842,0.8065569580852101,31521.26662981886,15209.829820548575,Random Forest,Full,stratified,price_sold,pooled_random_forest_cross_validation_full_features_stratified_price_sold,outputs/Final Results/Random forest/pooled_random_forest_cross_validation_full_features_stratified_price_sold
Flat,8547,0.8200284909789085,52344.797418051065,31667.383343825324,Random Forest,Full,stratified,price_sold,pooled_random_forest_cross_validation_full_features_stratified_price_sold,outputs/Final Results/Random forest/pooled_random_forest_cross_validation_full_features_stratified_price_sold
Detached bungalow,2899,0.8329124264051452,44913.15779019372,25084.3592392157,Random Forest,Full,stratified,price_sold,pooled_random_forest_cross_validation_full_features_stratified_price_sold,outputs/Final Results/Random forest/pooled_random_forest_cross_validation_full_features_stratified_price_sold
Detached house,15305,0.8386456722959532,51429.18285421787,29723.456180584537,Random Forest,Full,stratified,price_sold,pooled_random_forest_cross_validation_full_features_stratified_price_sold,outputs/Final Results/Random forest/pooled_random_forest_cross_validation_full_features_stratified_price_sold
Studio,435,0.8408760204319949,24673.78507621607,9076.199539348348,Random Forest,Full,stratified,price_sold,pooled_random_forest_cross_validation_full_features_stratified_price_sold,outputs/Final Results/Random forest/pooled_random_forest_cross_validation_full_features_stratified_price_sold
Cottage,566,0.845161624526527,43589.01761393728,24550.597069822805,Random Forest,Full,stratified,price_sold,pooled_random_forest_cross_validation_full_features_stratified_price_sold,outputs/Final Results/Random forest/pooled_random_forest_cross_validation_full_features_stratified_price_sold
End terrace house,4325,0.8768450735709242,38021.851843127464,20490.44922917023,Random Forest,Full,stratified,price_sold,pooled_random_forest_cross_validation_full_features_stratified_price_sold,outputs/Final Results/Random forest/pooled_random_forest_cross_validation_full_features_stratified_price_sold
Bungalow,1377,0.8824860634961326,43321.27675838984,22649.45881320041,Random Forest,Full,stratified,price_sold,pooled_random_forest_cross_validation_full_features_stratified_price_sold,outputs/Final Results/Random forest/pooled_random_forest_cross_validation_full_features_stratified_price_sold
Terraced house,7407,0.8876495411868282,41696.832307655306,22935.33749305466,Random Forest,Full,stratified,price_sold,pooled_random_forest_cross_validation_full_features_stratified_price_sold,outputs/Final Results/Random forest/pooled_random_forest_cross_validation_full_features_stratified_price_sold
Semi-detached house,13271,0.895339690386802,43077.917415365766,23377.347465948525,Random Forest,Full,stratified,price_sold,pooled_random_forest_cross_validation_full_features_stratified_price_sold,outputs/Final Results/Random forest/pooled_random_forest_cross_validation_full_features_stratified_price_sold
Link-detached house,1198,0.9015733835895822,32509.44945582798,15434.435533771142,Random Forest,Full,stratified,price_sold,pooled_random_forest_cross_validation_full_features_stratified_price_sold,outputs/Final Results/Random forest/pooled_random_forest_cross_validation_full_features_stratified_price_sold
Town house,1573,0.9430727129834312,35169.63896039629,15828.713945776955,Random Forest,Full,stratified,price_sold,pooled_random_forest_cross_validation_full_features_stratified_price_sold,outputs/Final Results/Random forest/pooled_random_forest_cross_validation_full_features_stratified_price_sold
