msoa21,name
E02003719,Kings Hedges
E02003720,Arbury
E02003721,East Chesterton
E02003722,West Chesterton
E02003723,Eddington & Castle
E02003724,East Barnwell & Abbey
E02003725,Central & West Cambridge
E02003726,Petersfield
E02003727,Romsey
E02003728,Coleridge
E02003729,Cherry Hinton
E02003731,Addenbrooke's & Queen Edith's
E02003732,Littleport
E02003733,Little Downham & Sutton
E02003734,North Ely
E02003735,South Ely
E02003736,"Haddenham, Stretham & Witchford"
E02003737,Soham
E02003738,"Isleham, Fordham & Chippenham"
E02003739,Burwell
E02003740,Swaffham & Bottisham
E02003775,Willingham & Over
E02003776,Cottenham
E02003777,"Longstanton, Swavesey & Oakington"
E02003778,Waterbeach and Landbeach
E02003780,"HIston, Impington & Orchard Park"
E02003781,"Milton, Fen Ditton & Quy"
E02003784,Hardwick & Highfields
E02003785,Fulbourn & Teversham
E02003786,Great Shelford & Stapleford
E02003787,"Barrington, Orwell & Gamlingay"
E02003788,"Little Shelford , Foxton & Haslingfield"
E02003789,Sawston
E02003790,Linton & Balsham
E02003791,"Duxford, Whittlesford & the Abingtons"
E02003792,"Meldreth, Melbourn & Great Chishill"
E02003793,Bassingbourn & the Mordens
E02006825,Dullingham & Cheveley
E02006873,Cambourne
E02006874,"Papworth, Caxton & Fen Drayton"
E02007085,Eddington & Girton
E02007086,Trumpington South
E02007087,Trumpington
