msoa21,name,n_sales,n_types,shannon_entropy
E02007085,Eddington & Girton,1486,13,2.196364849300071
E02003737,Soham,3224,18,2.1316672107101935
E02003740,Swaffham & Bottisham,767,17,2.1248207773772276
E02003785,Fulbourn & Teversham,1454,17,2.1246362397278133
E02003787,"Barrington, Orwell & Gamlingay",456,16,2.082466224964998
E02003735,South Ely,1376,17,2.0416782919454075
E02006874,"Papworth, Caxton & Fen Drayton",3352,16,2.037896129162346
E02003777,"Longstanton, Swavesey & Oakington",2187,17,2.037260605296041
E02003788,"Little Shelford , Foxton & Haslingfield",1547,15,2.0203971767116142
E02003776,Cottenham,1192,15,2.0038733289259825
E02003734,North Ely,2108,13,1.983923785848382
E02003732,Littleport,2295,16,1.9642373069711143
E02003739,Burwell,1101,14,1.9495797675647744
E02003786,Great Shelford & Stapleford,921,13,1.9448602687213283
E02003792,"Meldreth, Melbourn & Great Chishill",384,16,1.926799148493719
E02003736,"Haddenham, Stretham & Witchford",2729,17,1.921049450424222
E02003793,Bassingbourn & the Mordens,230,14,1.8967450760652
E02003790,Linton & Balsham,1699,15,1.8822637793517902
E02003791,"Duxford, Whittlesford & the Abingtons",1279,14,1.8718459062438484
E02003789,Sawston,892,12,1.8605792424465382
E02003720,Arbury,939,11,1.855195527258765
E02003723,Eddington & Castle,284,11,1.84171393824423
E02003781,"Milton, Fen Ditton & Quy",887,14,1.837362949452221
E02003780,"HIston, Impington & Orchard Park",1974,14,1.8310615170358717
E02003778,Waterbeach and Landbeach,1328,15,1.8207899034736768
E02006873,Cambourne,2994,9,1.7835426029608925
E02007086,Trumpington South,1442,13,1.779914387193739
E02003775,Willingham & Over,1442,15,1.7751240889839794
E02003719,Kings Hedges,1142,11,1.7352810137332604
E02003729,Cherry Hinton,1417,11,1.7098665768434347
E02006825,Dullingham & Cheveley,923,16,1.6460286958376815
E02003724,East Barnwell & Abbey,1011,11,1.5900662733216882
E02003733,Little Downham & Sutton,2515,15,1.5618040958651187
E02003728,Coleridge,1451,10,1.5547568616149263
E02003721,East Chesterton,962,11,1.527117487863704
E02003727,Romsey,1334,9,1.5058591689452172
E02003731,Addenbrooke's & Queen Edith's,644,11,1.488336889087026
E02003784,Hardwick & Highfields,2158,14,1.4718146043197209
E02003722,West Chesterton,717,9,1.4694748761322511
E02003726,Petersfield,806,9,1.4311321159638677
E02003738,"Isleham, Fordham & Chippenham",1196,17,1.4216554025263135
E02003725,Central & West Cambridge,467,9,1.2706776642016322
E02007087,Trumpington,1075,10,1.1342304454817413
